Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Snacks,China, Caturra , None ,922.5, $338.00 , $19.50 ," $11,992.50 ", $-   ," $11,992.50 "," $7,995.00 "," $3,075.00 ",01/12/2021,12, December ,2021
Beverages,Japan, Blue Mountain Coffee , Low ,5917.5, $13.00 , $9.10 ," $35,899.50 ", $359.00 ," $35,540.51 "," $25,642.50 "," $7,613.85 ",01/01/2021,1, January ,2021
Snacks,Japan, Blue Mountain Coffee , Low ,3444, $13.00 , $19.50 ," $44,772.00 ", $447.72 ," $44,324.28 "," $29,848.00 "," $11,135.60 ",01/02/2021,2, February ,2021
Beverages,Japan, Blue Mountain Coffee , Low ,1545, $13.00 , $9.10 ," $9,373.00 ", $93.73 ," $9,279.27 "," $6,695.00 "," $1,987.90 ",01/05/2021,5, May ,2021
Beverages,Japan, Bourbon , Low ,958.5, $156.00 , $9.10 ," $5,814.90 ", $58.15 ," $5,756.75 "," $4,153.50 "," $1,233.27 ",01/11/2021,11, November ,2021
Beverages,United States of America, Arabica , Low ,1989, $325.00 , $9.10 ," $12,066.60 ", $120.67 ," $11,945.93 "," $8,619.00 "," $2,559.18 ",01/03/2021,3, March ,2021
Dairy Products,China, Robusta , Low ,2787, $3.90 , $15.60 ," $28,984.80 ", $289.85 ," $28,694.95 "," $7,246.20 "," $16,499.04 ",01/02/2021,2, February ,2021
Beverages,Belgium, Robusta , Low ,1815, $3.90 , $455.00 ," $550,550.00 "," $5,505.50 "," $545,044.50 "," $408,980.00 "," $104,665.00 ",01/03/2021,3, March ,2021
Beverages,China, Robusta , Low ,3793.5, $3.90 , $9.10 ," $23,013.90 ", $230.14 ," $22,783.76 "," $16,438.50 "," $4,880.97 ",01/07/2021,7, July ,2021
Dairy Products,United States of America, Robusta , Low ,2167.5, $3.90 , $15.60 ," $22,542.00 ", $225.42 ," $22,316.58 "," $5,635.50 "," $12,831.60 ",01/09/2021,9, September ,2021
Dairy Products,Japan, Robusta , Low ,4006.5, $3.90 , $15.60 ," $41,667.60 ", $416.68 ," $41,250.92 "," $10,416.90 "," $23,718.48 ",01/09/2021,9, September ,2021
Beverages,Belgium, Robusta , Low ,2095.5, $3.90 , $455.00 ," $635,635.00 "," $6,356.35 "," $629,278.65 "," $472,186.00 "," $120,840.50 ",01/10/2021,10, October ,2021
Beverages,Japan, Robusta , Low ,3232.5, $3.90 , $455.00 ," $980,525.00 "," $9,805.25 "," $970,719.75 "," $728,390.00 "," $186,407.50 ",01/12/2021,12, December ,2021
Snacks,Belgium, Typica , Low ,3321, $6.50 , $19.50 ," $43,173.00 ", $431.73 ," $42,741.27 "," $28,782.00 "," $10,737.90 ",01/03/2021,3, March ,2021
Frozen Foods,China, Typica , Low ,3451.5, $6.50 , $390.00 ," $897,390.00 "," $8,973.90 "," $888,416.10 "," $747,825.00 "," $108,147.00 ",01/04/2021,4, April ,2021
Beverages,Japan, Typica , Low ,2063.25, $6.50 , $26.00 ," $35,763.00 ", $357.63 ," $35,405.37 "," $17,881.50 "," $13,479.90 ",01/07/2021,7, July ,2021
Beverages,United States of America, Typica , Low ,2745, $6.50 , $9.10 ," $16,653.00 ", $166.53 ," $16,486.47 "," $11,895.00 "," $3,531.90 ",01/08/2021,8, August ,2021
Snacks,China, Blue Mountain Coffee , Low ,2271, $13.00 , $19.50 ," $29,523.00 ", $295.23 ," $29,227.77 "," $19,682.00 "," $7,342.90 ",01/02/2021,2, February ,2021
Beverages,China, Blue Mountain Coffee , Low ,6738.75, $13.00 , $9.10 ," $40,881.75 ", $408.82 ," $40,472.93 "," $29,201.25 "," $8,670.53 ",01/04/2021,4, April ,2021
Packaged and Prepared Foods,China, Blue Mountain Coffee , Low ,1090.5, $13.00 , $162.50 ," $118,137.50 "," $1,181.38 "," $116,956.13 "," $113,412.00 "," $2,726.25 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Japan, Blue Mountain Coffee , Low ,1180.5, $13.00 , $162.50 ," $127,887.50 "," $1,278.88 "," $126,608.63 "," $122,772.00 "," $2,951.25 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Belgium, Blue Mountain Coffee , Low ,2734.5, $13.00 , $162.50 ," $296,237.50 "," $2,962.38 "," $293,275.13 "," $284,388.00 "," $6,836.25 ",01/07/2021,7, July ,2021
Snacks,Switzerland, Blue Mountain Coffee , Low ,1120.5, $13.00 , $19.50 ," $14,566.50 ", $145.67 ," $14,420.84 "," $9,711.00 "," $3,622.95 ",01/09/2021,9, September ,2021
Frozen Foods,China, Blue Mountain Coffee , Low ,4357.5, $13.00 , $390.00 ," $1,132,950.00 "," $11,329.50 "," $1,121,620.50 "," $944,125.00 "," $136,535.00 ",01/11/2021,11, November ,2021
Beverages,Japan, Blue Mountain Coffee , Low ,3232.5, $13.00 , $455.00 ," $980,525.00 "," $9,805.25 "," $970,719.75 "," $728,390.00 "," $186,407.50 ",01/12/2021,12, December ,2021
Beverages,Japan, Bourbon , Low ,5796, $156.00 , $26.00 ," $100,464.00 "," $1,004.64 "," $99,459.36 "," $50,232.00 "," $37,867.20 ",01/04/2021,4, April ,2021
Beverages,Belgium, Bourbon , Low ,543, $156.00 , $9.10 ," $3,294.20 ", $32.94 ," $3,261.26 "," $2,353.00 ", $698.66 ,01/05/2021,5, May ,2021
Packaged and Prepared Foods,United States of America, Bourbon , Low ,1384.5, $156.00 , $162.50 ," $149,987.50 "," $1,499.88 "," $148,487.63 "," $143,988.00 "," $3,461.25 ",01/08/2021,8, August ,2021
Beverages,Switzerland, Arabica , Low ,394.5, $325.00 , $9.10 ," $2,393.30 ", $23.93 ," $2,369.37 "," $1,709.50 ", $507.59 ,01/03/2021,3, March ,2021
Beverages,United States of America, Arabica , Low ,1415.25, $325.00 , $455.00 ," $429,292.50 "," $4,292.93 "," $424,999.58 "," $318,903.00 "," $81,612.75 ",01/04/2021,4, April ,2021
Packaged and Prepared Foods,China, Arabica , Low ,1090.5, $325.00 , $162.50 ," $118,137.50 "," $1,181.38 "," $116,956.13 "," $113,412.00 "," $2,726.25 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Japan, Arabica , Low ,1180.5, $325.00 , $162.50 ," $127,887.50 "," $1,278.88 "," $126,608.63 "," $122,772.00 "," $2,951.25 ",01/06/2021,6, June ,2021
Frozen Foods,Switzerland, Arabica , Low ,1479, $325.00 , $390.00 ," $384,540.00 "," $3,845.40 "," $380,694.60 "," $320,450.00 "," $46,342.00 ",01/09/2021,9, September ,2021
Beverages,Belgium, Arabica , Low ,2095.5, $325.00 , $455.00 ," $635,635.00 "," $6,356.35 "," $629,278.65 "," $472,186.00 "," $120,840.50 ",01/10/2021,10, October ,2021
Packaged and Prepared Foods,Japan, Arabica , Low ,2616, $325.00 , $162.50 ," $283,400.00 "," $2,834.00 "," $280,566.00 "," $272,064.00 "," $6,540.00 ",01/11/2021,11, November ,2021
Packaged and Prepared Foods,United States of America, Robusta , Low ,1113.75, $3.90 , $162.50 ," $120,656.25 "," $2,413.13 "," $118,243.13 "," $115,830.00 "," $1,856.25 ",01/04/2021,4, April ,2021
Dairy Products,United States of America, Robusta , Low ,1942.5, $3.90 , $15.60 ," $20,202.00 ", $404.04 ," $19,797.96 "," $5,050.50 "," $11,344.20 ",01/10/2021,10, October ,2021
Beverages,United States of America, Robusta , Low ,4278, $3.90 , $455.00 ," $1,297,660.00 "," $25,953.20 "," $1,271,706.80 "," $963,976.00 "," $236,716.00 ",01/12/2021,12, December ,2021
Dairy Products,China, Typica , Low ,1713, $6.50 , $15.60 ," $17,815.20 ", $356.30 ," $17,458.90 "," $4,453.80 "," $10,003.92 ",01/06/2021,6, June ,2021
Beverages,China, Typica , Low ,2349, $6.50 , $26.00 ," $40,716.00 ", $814.32 ," $39,901.68 "," $20,358.00 "," $15,033.60 ",01/10/2021,10, October ,2021
Dairy Products,Belgium, Typica , Low ,1035, $6.50 , $15.60 ," $10,764.00 ", $215.28 ," $10,548.72 "," $2,691.00 "," $6,044.40 ",01/11/2021,11, November ,2021
Snacks,United States of America, Blue Mountain Coffee , Low ,3544.5, $13.00 , $19.50 ," $46,078.50 ", $921.57 ," $45,156.93 "," $30,719.00 "," $11,106.10 ",01/02/2021,2, February ,2021
Frozen Foods,Japan, Blue Mountain Coffee , Low ,1377, $13.00 , $390.00 ," $358,020.00 "," $7,160.40 "," $350,859.60 "," $298,350.00 "," $40,392.00 ",01/05/2021,5, May ,2021
Frozen Foods,Switzerland, Blue Mountain Coffee , Low ,2592, $13.00 , $390.00 ," $673,920.00 "," $13,478.40 "," $660,441.60 "," $561,600.00 "," $76,032.00 ",01/05/2021,5, May ,2021
Dairy Products,China, Blue Mountain Coffee , Low ,1713, $13.00 , $15.60 ," $17,815.20 ", $356.30 ," $17,458.90 "," $4,453.80 "," $10,003.92 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Belgium, Blue Mountain Coffee , Low ,993, $13.00 , $162.50 ," $107,575.00 "," $2,151.50 "," $105,423.50 "," $103,272.00 "," $1,655.00 ",01/06/2021,6, June ,2021
Dairy Products,United States of America, Blue Mountain Coffee , Low ,1942.5, $13.00 , $15.60 ," $20,202.00 ", $404.04 ," $19,797.96 "," $5,050.50 "," $11,344.20 ",01/10/2021,10, October ,2021
Frozen Foods,United States of America, Blue Mountain Coffee , Low ,2874, $13.00 , $390.00 ," $747,240.00 "," $14,944.80 "," $732,295.20 "," $622,700.00 "," $84,304.00 ",01/12/2021,12, December ,2021
Beverages,United States of America, Blue Mountain Coffee , Low ,4278, $13.00 , $455.00 ," $1,297,660.00 "," $25,953.20 "," $1,271,706.80 "," $963,976.00 "," $236,716.00 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,United States of America, Blue Mountain Coffee , Low ,4093.5, $13.00 , $162.50 ," $443,462.50 "," $8,869.25 "," $434,593.25 "," $425,724.00 "," $6,822.50 ",01/12/2021,12, December ,2021
Dairy Products,Japan, Blue Mountain Coffee , Low ,1582.5, $13.00 , $15.60 ," $16,458.00 ", $329.16 ," $16,128.84 "," $4,114.50 "," $9,241.80 ",01/12/2021,12, December ,2021
Dairy Products,Belgium, Blue Mountain Coffee , Low ,1626, $13.00 , $15.60 ," $16,910.40 ", $338.21 ," $16,572.19 "," $4,227.60 "," $9,495.84 ",01/12/2021,12, December ,2021
Beverages,China, Bourbon , Low ,2349, $156.00 , $26.00 ," $40,716.00 ", $814.32 ," $39,901.68 "," $20,358.00 "," $15,033.60 ",01/10/2021,10, October ,2021
Beverages,Switzerland, Bourbon , Low ,4315.5, $156.00 , $455.00 ," $1,309,035.00 "," $26,180.70 "," $1,282,854.30 "," $972,426.00 "," $238,791.00 ",01/10/2021,10, October ,2021
Dairy Products,Japan, Bourbon , Low ,1582.5, $156.00 , $15.60 ," $16,458.00 ", $329.16 ," $16,128.84 "," $4,114.50 "," $9,241.80 ",01/12/2021,12, December ,2021
Dairy Products,Belgium, Bourbon , Low ,1626, $156.00 , $15.60 ," $16,910.40 ", $338.21 ," $16,572.19 "," $4,227.60 "," $9,495.84 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,Belgium, Arabica , Low ,993, $325.00 , $162.50 ," $107,575.00 "," $2,151.50 "," $105,423.50 "," $103,272.00 "," $1,655.00 ",01/06/2021,6, June ,2021
Beverages,Switzerland, Arabica , Low ,4315.5, $325.00 , $455.00 ," $1,309,035.00 "," $26,180.70 "," $1,282,854.30 "," $972,426.00 "," $238,791.00 ",01/10/2021,10, October ,2021
Packaged and Prepared Foods,United States of America, Arabica , Low ,4093.5, $325.00 , $162.50 ," $443,462.50 "," $8,869.25 "," $434,593.25 "," $425,724.00 "," $6,822.50 ",01/12/2021,12, December ,2021
Frozen Foods,Switzerland, Caturra , Low ,388.5, $338.00 , $390.00 ," $101,010.00 "," $2,020.20 "," $98,989.80 "," $84,175.00 "," $11,396.00 ",01/03/2021,3, March ,2021
Frozen Foods,Belgium, Caturra , Low ,1651.5, $338.00 , $390.00 ," $429,390.00 "," $8,587.80 "," $420,802.20 "," $357,825.00 "," $48,444.00 ",01/03/2021,3, March ,2021
Packaged and Prepared Foods,Switzerland, Caturra , Low ,3414, $338.00 , $162.50 ," $369,850.00 "," $7,397.00 "," $362,453.00 "," $355,056.00 "," $5,690.00 ",01/05/2021,5, May ,2021
Beverages,China, Caturra , Low ,1854, $338.00 , $26.00 ," $32,136.00 ", $642.72 ," $31,493.28 "," $16,068.00 "," $11,865.60 ",01/11/2021,11, November ,2021
Beverages,Japan, Caturra , Low ,1411.5, $338.00 , $26.00 ," $24,466.00 ", $489.32 ," $23,976.68 "," $12,233.00 "," $9,033.60 ",01/11/2021,11, November ,2021
Frozen Foods,United States of America, Caturra , Low ,2874, $338.00 , $390.00 ," $747,240.00 "," $14,944.80 "," $732,295.20 "," $622,700.00 "," $84,304.00 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,Japan, Robusta , Low ,6365.25, $3.90 , $162.50 ," $689,568.75 "," $20,687.06 "," $668,881.69 "," $661,986.00 "," $5,304.38 ",01/04/2021,4, April ,2021
Beverages,Switzerland, Robusta , Low ,3870, $3.90 , $26.00 ," $67,080.00 "," $2,012.40 "," $65,067.60 "," $33,540.00 "," $24,252.00 ",01/04/2021,4, April ,2021
Frozen Foods,Switzerland, Robusta , Low ,1033.5, $3.90 , $390.00 ," $268,710.00 "," $8,061.30 "," $260,648.70 "," $223,925.00 "," $28,249.00 ",01/06/2021,6, June ,2021
Dairy Products,China, Robusta , Low ,2920.5, $3.90 , $15.60 ," $30,373.20 ", $911.20 ," $29,462.00 "," $7,593.30 "," $16,822.08 ",01/09/2021,9, September ,2021
Beverages,Switzerland, Typica , Low ,2937, $6.50 , $9.10 ," $17,817.80 ", $534.53 ," $17,283.27 "," $12,727.00 "," $3,504.82 ",01/02/2021,2, February ,2021
Dairy Products,Japan, Typica , Low ,2851.5, $6.50 , $15.60 ," $29,655.60 ", $889.67 ," $28,765.93 "," $7,413.90 "," $16,424.64 ",01/06/2021,6, June ,2021
Beverages,Japan, Typica , Low ,816, $6.50 , $9.10 ," $4,950.40 ", $148.51 ," $4,801.89 "," $3,536.00 ", $973.76 ,01/09/2021,9, September ,2021
Packaged and Prepared Foods,Japan, Typica , Low ,1930.5, $6.50 , $162.50 ," $209,137.50 "," $6,274.13 "," $202,863.38 "," $200,772.00 "," $1,608.75 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,Switzerland, Typica , Low ,2559, $6.50 , $162.50 ," $277,225.00 "," $8,316.75 "," $268,908.25 "," $266,136.00 "," $2,132.50 ",01/12/2021,12, December ,2021
Frozen Foods,Japan, Blue Mountain Coffee , Low ,3651.75, $13.00 , $390.00 ," $949,455.00 "," $28,483.65 "," $920,971.35 "," $791,212.50 "," $99,814.50 ",01/01/2021,1, January ,2021
Packaged and Prepared Foods,United States of America, Blue Mountain Coffee , Low ,2661, $13.00 , $162.50 ," $288,275.00 "," $8,648.25 "," $279,626.75 "," $276,744.00 "," $2,217.50 ",01/03/2021,3, March ,2021
Dairy Products,Japan, Blue Mountain Coffee , Low ,2851.5, $13.00 , $15.60 ," $29,655.60 ", $889.67 ," $28,765.93 "," $7,413.90 "," $16,424.64 ",01/06/2021,6, June ,2021
Frozen Foods,Switzerland, Blue Mountain Coffee , Low ,1033.5, $13.00 , $390.00 ," $268,710.00 "," $8,061.30 "," $260,648.70 "," $223,925.00 "," $28,249.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Switzerland, Blue Mountain Coffee , Low ,2355, $13.00 , $162.50 ," $255,125.00 "," $7,653.75 "," $247,471.25 "," $244,920.00 "," $1,962.50 ",01/06/2021,6, June ,2021
Dairy Products,China, Blue Mountain Coffee , Low ,2054.25, $13.00 , $15.60 ," $21,364.20 ", $640.93 ," $20,723.27 "," $5,341.05 "," $11,832.48 ",01/07/2021,7, July ,2021
Packaged and Prepared Foods,United States of America, Blue Mountain Coffee , Low ,3013.5, $13.00 , $162.50 ," $326,462.50 "," $9,793.88 "," $316,668.63 "," $313,404.00 "," $2,511.25 ",01/10/2021,10, October ,2021
Packaged and Prepared Foods,Japan, Blue Mountain Coffee , Low ,1930.5, $13.00 , $162.50 ," $209,137.50 "," $6,274.13 "," $202,863.38 "," $200,772.00 "," $1,608.75 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,Switzerland, Blue Mountain Coffee , Low ,2559, $13.00 , $162.50 ," $277,225.00 "," $8,316.75 "," $268,908.25 "," $266,136.00 "," $2,132.50 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,United States of America, Bourbon , Low ,3013.5, $156.00 , $162.50 ," $326,462.50 "," $9,793.88 "," $316,668.63 "," $313,404.00 "," $2,511.25 ",01/10/2021,10, October ,2021
Frozen Foods,China, Arabica , Low ,4266, $325.00 , $390.00 ," $1,109,160.00 "," $33,274.80 "," $1,075,885.20 "," $924,300.00 "," $116,604.00 ",01/02/2021,2, February ,2021
Dairy Products,Belgium, Arabica , Low ,2874, $325.00 , $15.60 ," $29,889.60 ", $896.69 ," $28,992.91 "," $7,472.40 "," $16,554.24 ",01/04/2021,4, April ,2021
Packaged and Prepared Foods,Switzerland, Arabica , Low ,2355, $325.00 , $162.50 ," $255,125.00 "," $7,653.75 "," $247,471.25 "," $244,920.00 "," $1,962.50 ",01/06/2021,6, June ,2021
Frozen Foods,United States of America, Arabica , Low ,2811, $325.00 , $390.00 ," $730,860.00 "," $21,925.80 "," $708,934.20 "," $609,050.00 "," $76,834.00 ",01/08/2021,8, August ,2021
Beverages,Belgium, Arabica , Low ,2463, $325.00 , $455.00 ," $747,110.00 "," $22,413.30 "," $724,696.70 "," $554,996.00 "," $130,539.00 ",01/08/2021,8, August ,2021
Beverages,United States of America, Robusta , Low ,1246.5, $3.90 , $26.00 ," $21,606.00 ", $648.18 ," $20,957.82 "," $10,803.00 "," $7,811.40 ",01/05/2021,5, May ,2021
Beverages,United States of America, Bourbon , Low ,5775.75, $156.00 , $26.00 ," $100,113.00 "," $3,003.39 "," $97,109.61 "," $50,056.50 "," $36,194.70 ",01/04/2021,4, April ,2021
Dairy Products,Switzerland, Arabica , Low ,3718.5, $325.00 , $15.60 ," $38,672.40 "," $1,160.17 "," $37,512.23 "," $9,668.10 "," $21,418.56 ",01/01/2021,1, January ,2021
Snacks,Belgium, Typica , Low ,3046.5, $6.50 , $19.50 ," $39,604.50 "," $1,584.18 "," $38,020.32 "," $26,403.00 "," $8,936.40 ",01/10/2021,10, October ,2021
Snacks,Belgium, Blue Mountain Coffee , Low ,3046.5, $13.00 , $19.50 ," $39,604.50 "," $1,584.18 "," $38,020.32 "," $26,403.00 "," $8,936.40 ",01/10/2021,10, October ,2021
Frozen Foods,Switzerland, Robusta , Low ,3031.5, $3.90 , $390.00 ," $788,190.00 "," $31,527.60 "," $756,662.40 "," $656,825.00 "," $76,798.00 ",01/10/2021,10, October ,2021
Beverages,China, Robusta , Low ,411, $3.90 , $455.00 ," $124,670.00 "," $4,986.80 "," $119,683.20 "," $92,612.00 "," $20,824.00 ",01/12/2021,12, December ,2021
Snacks,United States of America, Typica , Low ,2950.5, $6.50 , $19.50 ," $38,356.50 "," $1,534.26 "," $36,822.24 "," $25,571.00 "," $8,654.80 ",01/03/2021,3, March ,2021
